theta_deg,sum_db,diff_db
-46.0000,-38.213974,-23.071032
-45.7500,-38.163853,-23.096752
-45.5000,-38.133873,-23.113539
-45.2500,-38.124893,-23.121208
-45.0000,-38.137508,-23.119759
-44.7500,-38.172222,-23.109367
-44.5000,-38.229828,-23.090256
-44.2500,-38.311001,-23.062860
-44.0000,-38.416878,-23.027456
-43.7500,-38.547920,-22.984636
-43.5000,-38.705154,-22.934887
-43.2500,-38.889084,-22.878859
-43.0000,-39.100365,-22.816940
-42.7500,-39.339577,-22.749866
-42.5000,-39.606434,-22.678118
-42.2500,-39.900951,-22.602280
-42.0000,-40.221886,-22.522917
-41.7500,-40.567097,-22.440445
-41.5000,-40.933197,-22.355476
-41.2500,-41.314812,-22.268476
-41.0000,-41.703117,-22.179911
-40.7500,-42.087498,-22.090261
-40.5000,-42.451637,-22.000011
-40.2500,-42.776688,-21.909685
-40.0000,-43.039886,-21.819763
-39.7500,-43.218555,-21.730751
-39.5000,-43.292862,-21.643150
-39.2500,-43.250851,-21.557468
-39.0000,-43.091705,-21.474319
-38.7500,-42.825600,-21.394157
-38.5000,-42.471336,-21.317593
-38.2500,-42.052135,-21.245090
-38.0000,-41.590858,-21.177244
-37.7500,-41.108398,-21.114504
-37.5000,-40.621418,-21.057320
-37.2500,-40.142570,-21.006224
-37.0000,-39.681278,-20.961473
-36.7500,-39.244164,-20.923502
-36.5000,-38.835587,-20.892586
-36.2500,-38.458694,-20.868891
-36.0000,-38.115471,-20.852638
-35.7500,-37.807072,-20.843832
-35.5000,-37.534492,-20.842474
-35.2500,-37.298367,-20.848450
-35.0000,-37.099052,-20.861492
-34.7500,-36.937126,-20.881403
-34.5000,-36.813099,-20.907677
-34.2500,-36.727402,-20.939865
-34.0000,-36.680965,-20.977249
-33.7500,-36.674522,-21.019245
-33.5000,-36.709103,-21.064970
-33.2500,-36.786346,-21.113537
-33.0000,-36.907555,-21.164019
-32.7500,-37.074940,-21.215385
-32.5000,-37.290672,-21.266602
-32.2500,-37.557686,-21.316557
-32.0000,-37.879406,-21.364227
-31.7500,-38.259628,-21.408577
-31.5000,-38.703182,-21.448650
-31.2500,-39.215836,-21.483555
-31.0000,-39.804100,-21.512543
-30.7500,-40.476070,-21.534956
-30.5000,-41.240368,-21.550341
-30.2500,-42.106915,-21.558352
-30.0000,-43.084530,-21.558861
-29.7500,-44.178181,-21.551876
-29.5000,-45.379784,-21.537586
-29.2500,-46.648087,-21.516325
-29.0000,-47.870880,-21.488586
-28.7500,-48.820988,-21.454937
-28.5000,-49.203259,-21.416142
-28.2500,-48.876606,-21.372938
-28.0000,-48.011612,-21.326237
-27.7500,-46.906353,-21.276896
-27.5000,-45.775684,-21.225876
-27.2500,-44.723312,-21.174129
-27.0000,-43.786732,-21.122599
-26.7500,-42.973129,-21.072269
-26.5000,-42.278404,-21.024025
-26.2500,-41.694912,-20.978785
-26.0000,-41.214706,-20.937426
-25.7500,-40.830788,-20.900743
-25.5000,-40.537483,-20.869501
-25.2500,-40.330566,-20.844398
-25.0000,-40.207294,-20.826132
-24.7500,-40.165936,-20.815294
-24.5000,-40.206398,-20.812349
-24.2500,-40.329662,-20.817842
-24.0000,-40.538361,-20.832077
-23.7500,-40.836433,-20.855391
-23.5000,-41.229900,-20.887974
-23.2500,-41.726841,-20.929995
-23.0000,-42.337955,-20.981482
-22.7500,-43.077244,-21.042376
-22.5000,-43.962002,-21.112514
-22.2500,-45.011551,-21.191628
-22.0000,-46.243153,-21.279268
-21.7500,-47.654148,-21.374910
-21.5000,-49.166718,-21.477758
-21.2500,-50.502365,-21.586937
-21.0000,-51.082401,-21.701241
-20.7500,-50.470421,-21.819284
-20.5000,-49.001961,-21.939388
-20.2500,-47.282253,-22.059576
-20.0000,-45.635544,-22.177584
-19.7500,-44.159424,-22.290882
-19.5000,-42.862045,-22.396633
-19.2500,-41.726837,-22.491856
-19.0000,-40.733002,-22.573469
-18.7500,-39.861866,-22.638456
-18.5000,-39.097515,-22.683990
-18.2500,-38.427692,-22.707663
-18.0000,-37.842232,-22.707657
-17.7500,-37.333332,-22.682981
-17.5000,-36.894680,-22.633430
-17.2500,-36.521271,-22.559772
-17.0000,-36.209141,-22.463676
-16.7500,-35.955158,-22.347599
-16.5000,-35.756870,-22.214613
-16.2500,-35.612179,-22.068249
-16.0000,-35.519623,-21.912235
-15.7500,-35.477833,-21.750446
-15.5000,-35.485680,-21.586544
-15.2500,-35.542225,-21.424063
-15.0000,-35.646301,-21.266191
-14.7500,-35.796600,-21.115782
-14.5000,-35.991364,-20.975334
-14.2500,-36.228035,-20.846977
-14.0000,-36.502918,-20.732462
-13.7500,-36.810707,-20.633236
-13.5000,-37.143517,-20.550444
-13.2500,-37.490520,-20.484940
-13.0000,-37.836967,-20.437307
-12.7500,-38.163788,-20.407940
-12.5000,-38.448265,-20.396946
-12.2500,-38.665794,-20.404305
-12.0000,-38.793571,-20.429768
-11.7500,-38.815384,-20.472904
-11.5000,-38.725807,-20.533089
-11.2500,-38.531921,-20.609570
-11.0000,-38.251335,-20.701382
-10.7500,-37.907864,-20.807409
-10.5000,-37.526863,-20.926376
-10.2500,-37.131611,-21.056858
-10.0000,-36.741558,-21.197273
-9.7500,-36.371979,-21.345968
-9.5000,-36.034275,-21.501141
-9.2500,-35.736813,-21.660954
-9.0000,-35.485626,-21.823561
-8.7500,-35.285080,-21.987118
-8.5000,-35.138367,-22.149849
-8.2500,-35.047890,-22.310093
-8.0000,-35.015533,-22.466343
-7.7500,-35.042786,-22.617254
-7.5000,-35.130928,-22.761692
-7.2500,-35.281044,-22.898731
-7.0000,-35.493946,-23.027590
-6.7500,-35.770309,-23.147661
-6.5000,-36.110416,-23.258459
-6.2500,-36.514130,-23.359501
-6.0000,-36.980747,-23.450329
-5.7500,-37.508732,-23.530415
-5.5000,-38.095612,-23.599131
-5.2500,-38.737759,-23.655746
-5.0000,-39.430443,-23.699402
-4.7500,-40.167999,-23.729206
-4.5000,-40.944695,-23.744268
-4.2500,-41.755844,-23.743786
-4.0000,-42.600132,-23.727228
-3.7500,-43.482109,-23.694386
-3.5000,-44.414970,-23.645569
-3.2500,-45.423035,-23.581636
-3.0000,-46.542850,-23.504103
-2.7500,-47.820511,-23.415136
-2.5000,-49.298206,-23.317490
-2.2500,-50.956917,-23.214439
-2.0000,-52.525631,-23.109663
-1.7500,-53.169094,-23.007088
-1.5000,-52.128593,-22.910740
-1.2500,-50.036621,-22.824640
-1.0000,-47.815308,-22.752613
-0.7500,-45.815128,-22.698240
-0.5000,-44.091393,-22.664730
-0.2500,-42.621899,-22.654829
0.0000,-41.373032,-22.670736
0.2500,-40.315441,-22.714006
0.5000,-39.425720,-22.785437
0.7500,-38.686249,-22.884943
1.0000,-38.083473,-23.011383
1.2500,-37.607388,-23.162367
1.5000,-37.250603,-23.334099
1.7500,-37.007771,-23.521214
2.0000,-36.875423,-23.716721
2.2500,-36.851658,-23.912151
2.5000,-36.936031,-24.098003
2.7500,-37.129620,-24.264528
3.0000,-37.435001,-24.402977
3.2500,-37.856682,-24.506922
3.5000,-38.401154,-24.573698
3.7500,-39.077644,-24.605206
4.0000,-39.898666,-24.608093
4.2500,-40.881229,-24.593012
4.5000,-42.047729,-24.573582
4.7500,-43.426743,-24.564859
5.0000,-45.050560,-24.582174
5.2500,-46.938492,-24.640104
5.5000,-49.028183,-24.751648
5.7500,-50.957352,-24.927307
6.0000,-51.819920,-25.173540
6.2500,-51.049267,-25.489862
6.5000,-49.410370,-25.863232
6.7500,-47.712029,-26.258299
7.0000,-46.227077,-26.603983
7.2500,-44.987999,-26.784714
7.5000,-43.967377,-26.659946
7.7500,-43.131538,-26.131329
8.0000,-42.452499,-25.212757
8.2500,-41.909523,-24.019596
8.5000,-41.488323,-22.691387
8.7500,-41.179779,-21.334669
9.0000,-40.978996,-20.012646
9.2500,-40.884583,-18.756609
9.5000,-40.898247,-17.579105
9.7500,-41.024406,-16.482836
10.0000,-41.270264,-15.465811
10.2500,-41.646042,-14.523988
10.5000,-42.165356,-13.652638
10.7500,-42.845913,-12.847023
11.0000,-43.710247,-12.102640
11.2500,-44.785809,-11.415381
11.5000,-46.102009,-10.781513
11.7500,-47.675213,-10.197691
12.0000,-49.453140,-9.660897
12.2500,-51.151939,-9.168419
12.5000,-52.054943,-8.717772
12.7500,-51.560593,-8.306691
13.0000,-50.146046,-7.933053
13.2500,-48.587494,-7.594869
13.5000,-47.236763,-7.290224
13.7500,-46.178284,-7.017260
14.0000,-45.414124,-6.774135
14.2500,-44.931961,-6.558992
14.5000,-44.724892,-6.369925
14.7500,-44.797169,-6.204968
15.0000,-45.166267,-6.062049
15.2500,-45.861473,-5.938981
15.5000,-46.911007,-5.833442
15.7500,-48.272705,-5.742956
16.0000,-49.569138,-5.664880
16.2500,-49.676899,-5.596431
16.5000,-47.869339,-5.534664
16.7500,-45.191349,-5.476518
17.0000,-42.572014,-5.418844
17.2500,-40.248905,-5.358458
17.5000,-38.217140,-5.292218
17.7500,-36.426376,-5.217089
18.0000,-34.827309,-5.130254
18.2500,-33.378765,-5.029193
18.5000,-32.047115,-4.911791
18.7500,-30.804504,-4.776423
19.0000,-29.627399,-4.622033
19.2500,-28.495798,-4.448181
19.5000,-27.392830,-4.255063
19.7500,-26.304874,-4.043515
20.0000,-25.221693,-3.814962
20.2500,-24.136589,-3.571369
20.5000,-23.046333,-3.315164
20.7500,-21.950817,-3.049132
21.0000,-20.852448,-2.776334
21.2500,-19.755381,-2.499998
21.5000,-18.664768,-2.223446
21.7500,-17.586071,-1.950021
22.0000,-16.524565,-1.683010
22.2500,-15.484993,-1.425627
22.5000,-14.471427,-1.180956
22.7500,-13.487192,-0.951964
23.0000,-12.534863,-0.741460
23.2500,-11.616413,-0.552138
23.5000,-10.733237,-0.386564
23.7500,-9.886278,-0.247221
24.0000,-9.076107,-0.136509
24.2500,-8.302986,-0.056808
24.5000,-7.566958,-0.010494
24.7500,-6.867905,0.000000
25.0000,-6.205570,-0.027862
25.2500,-5.579605,-0.096785
25.5000,-4.989598,-0.209715
25.7500,-4.435091,-0.369941
26.0000,-3.915604,-0.581197
26.2500,-3.430648,-0.847822
26.5000,-2.979730,-1.174956
26.7500,-2.562360,-1.568809
27.0000,-2.178062,-2.037033
27.2500,-1.826373,-2.589261
27.5000,-1.506852,-3.237910
27.7500,-1.219074,-3.999396
28.0000,-0.962642,-4.896114
28.2500,-0.737184,-5.959768
28.5000,-0.542345,-7.237413
28.7500,-0.377804,-8.803307
29.0000,-0.243263,-10.784930
29.2500,-0.138443,-13.430276
29.5000,-0.063102,-17.332447
29.7500,-0.017020,-24.671993
30.0000,0.000000,-32.867626
30.2500,-0.011878,-20.084702
30.5000,-0.052511,-15.092851
30.7500,-0.121790,-11.984959
