theta0_deg,peak_theta_deg,pointing_error_deg,target_gain_db,sll_db,train_seconds,epochs,elements,loss_pointing,loss_sll,loss_amp
-30.0,-29.75,0.25,-0.004896416328847408,-20.183624267578125,7.945818599982886,1000,64,2.3985039661056362e-05,0.0,0.050024956464767456
0.0,-0.25,0.25,-3.572271089069545e-05,-21.135351181030273,7.095776200003456,1000,64,1.2032066454281676e-09,0.0,0.06483013927936554
30.0,29.0,1.0,-0.03342970833182335,-19.98964500427246,7.280985799996415,1000,64,0.0011198748834431171,5.029338353779167e-06,0.06810495257377625
