theta_deg,pattern_db
-90.0000,-33.685669
-89.7500,-33.685822
-89.5000,-33.686253
-89.2500,-33.686920
-89.0000,-33.687832
-88.7500,-33.688988
-88.5000,-33.690334
-88.2500,-33.691906
-88.0000,-33.693554
-87.7500,-33.695293
-87.5000,-33.697067
-87.2500,-33.698891
-87.0000,-33.700607
-86.7500,-33.702141
-86.5000,-33.703545
-86.2500,-33.704647
-86.0000,-33.705334
-85.7500,-33.705643
-85.5000,-33.705299
-85.2500,-33.704334
-85.0000,-33.702698
-84.7500,-33.700199
-84.5000,-33.696663
-84.2500,-33.692169
-84.0000,-33.686340
-83.7500,-33.679256
-83.5000,-33.670727
-83.2500,-33.660583
-83.0000,-33.648758
-82.7500,-33.635109
-82.5000,-33.619617
-82.2500,-33.601906
-82.0000,-33.582153
-81.7500,-33.559986
-81.5000,-33.535431
-81.2500,-33.508305
-81.0000,-33.478516
-80.7500,-33.445885
-80.5000,-33.410538
-80.2500,-33.372200
-80.0000,-33.330772
-79.7500,-33.286400
-79.5000,-33.238808
-79.2500,-33.188026
-79.0000,-33.133991
-78.7500,-33.076691
-78.5000,-33.016155
-78.2500,-32.952332
-78.0000,-32.885262
-77.7500,-32.814884
-77.5000,-32.741367
-77.2500,-32.664684
-77.0000,-32.584881
-76.7500,-32.502087
-76.5000,-32.416264
-76.2500,-32.327637
-76.0000,-32.236195
-75.7500,-32.142143
-75.5000,-32.045418
-75.2500,-31.946371
-75.0000,-31.844982
-74.7500,-31.741409
-74.5000,-31.635761
-74.2500,-31.528225
-74.0000,-31.418892
-73.7500,-31.307930
-73.5000,-31.195454
-73.2500,-31.081615
-73.0000,-30.966578
-72.7500,-30.850431
-72.5000,-30.733355
-72.2500,-30.615454
-72.0000,-30.496857
-71.7500,-30.377705
-71.5000,-30.258104
-71.2500,-30.138197
-71.0000,-30.018093
-70.7500,-29.897909
-70.5000,-29.777725
-70.2500,-29.657665
-70.0000,-29.537848
-69.7500,-29.418327
-69.5000,-29.299240
-69.2500,-29.180637
-69.0000,-29.062605
-68.7500,-28.945236
-68.5000,-28.828604
-68.2500,-28.712759
-68.0000,-28.597797
-67.7500,-28.483755
-67.5000,-28.370676
-67.2500,-28.258659
-67.0000,-28.147726
-66.7500,-28.037941
-66.5000,-27.929361
-66.2500,-27.821972
-66.0000,-27.715876
-65.7500,-27.611055
-65.5000,-27.507591
-65.2500,-27.405479
-65.0000,-27.304762
-64.7500,-27.205486
-64.5000,-27.107620
-64.2500,-27.011242
-64.0000,-26.916349
-63.7500,-26.822937
-63.5000,-26.731045
-63.2500,-26.640690
-63.0000,-26.551886
-62.7500,-26.464622
-62.5000,-26.378925
-62.2500,-26.294800
-62.0000,-26.212234
-61.7500,-26.131296
-61.5000,-26.051918
-61.2500,-25.974125
-61.0000,-25.897942
-60.7500,-25.823347
-60.5000,-25.750334
-60.2500,-25.678944
-60.0000,-25.609142
-59.7500,-25.540947
-59.5000,-25.474337
-59.2500,-25.409325
-59.0000,-25.345913
-58.7500,-25.284081
-58.5000,-25.223877
-58.2500,-25.165241
-58.0000,-25.108213
-57.7500,-25.052767
-57.5000,-24.998934
-57.2500,-24.946693
-57.0000,-24.896046
-56.7500,-24.847004
-56.5000,-24.799587
-56.2500,-24.753761
-56.0000,-24.709591
-55.7500,-24.667036
-55.5000,-24.626129
-55.2500,-24.586876
-55.0000,-24.549303
-54.7500,-24.513414
-54.5000,-24.479227
-54.2500,-24.446777
-54.0000,-24.416086
-53.7500,-24.387180
-53.5000,-24.360088
-53.2500,-24.334839
-53.0000,-24.311481
-52.7500,-24.290049
-52.5000,-24.270588
-52.2500,-24.253141
-52.0000,-24.237782
-51.7500,-24.224529
