theta_deg,pattern_db
-23.7500,-37.143780
-23.5000,-36.683338
-23.2500,-36.310760
-23.0000,-36.016888
-22.7500,-35.794495
-22.5000,-35.637897
-22.2500,-35.542408
-22.0000,-35.503983
-21.7500,-35.518803
-21.5000,-35.582958
-21.2500,-35.691921
-21.0000,-35.839832
-20.7500,-36.018852
-20.5000,-36.218021
-20.2500,-36.422150
-20.0000,-36.610950
-19.7500,-36.758675
-19.5000,-36.835365
-19.2500,-36.810387
-19.0000,-36.658710
-18.7500,-36.367195
-18.5000,-35.938583
-18.2500,-35.390339
-18.0000,-34.749329
-17.7500,-34.045033
-17.5000,-33.304523
-17.2500,-32.549786
-17.0000,-31.797161
-16.7500,-31.058067
-16.5000,-30.339966
-16.2500,-29.647461
-16.0000,-28.983116
-15.7500,-28.348133
-15.5000,-27.742813
-15.2500,-27.166862
-15.0000,-26.619661
-14.7500,-26.100376
-14.5000,-25.608074
-14.2500,-25.141775
-14.0000,-24.700529
-13.7500,-24.283388
-13.5000,-23.889469
-13.2500,-23.517925
-13.0000,-23.167999
-12.7500,-22.838972
-12.5000,-22.530184
-12.2500,-22.241055
-12.0000,-21.971027
-11.7500,-21.719631
-11.5000,-21.486433
-11.2500,-21.271049
-11.0000,-21.073153
-10.7500,-20.892439
-10.5000,-20.728682
-10.2500,-20.581650
-10.0000,-20.451220
-9.7500,-20.337231
-9.5000,-20.239618
-9.2500,-20.158331
-9.0000,-20.093369
-8.7500,-20.044758
-8.5000,-20.012589
-8.2500,-19.996960
-8.0000,-19.998034
-7.7500,-20.016010
-7.5000,-20.051155
-7.2500,-20.103756
-7.0000,-20.174168
-6.7500,-20.262823
-6.5000,-20.370186
-6.2500,-20.496809
-6.0000,-20.643333
-5.7500,-20.810474
-5.5000,-20.999054
-5.2500,-21.210003
-5.0000,-21.444389
-4.7500,-21.703434
-4.5000,-21.988535
-4.2500,-22.301277
-4.0000,-22.643524
-3.7500,-23.017408
-3.5000,-23.425426
-3.2500,-23.870506
-3.0000,-24.356108
-2.7500,-24.886383
-2.5000,-25.466291
-2.2500,-26.101917
-2.0000,-26.800795
-1.7500,-27.572325
-1.5000,-28.428621
-1.2500,-29.385406
-1.0000,-30.463774
-0.7500,-31.692745
-0.5000,-33.113640
-0.2500,-34.787460
0.0000,-36.807354
0.2500,-39.315334
0.5000,-42.479919
0.7500,-45.967621
1.0000,-46.663609
1.2500,-43.674774
1.5000,-40.622864
1.7500,-38.247009
2.0000,-36.404156
2.2500,-34.941208
2.5000,-33.756577
2.7500,-32.784733
3.0000,-31.982317
3.2500,-31.319696
3.5000,-30.776270
3.7500,-30.337345
4.0000,-29.992596
4.2500,-29.734705
4.5000,-29.558783
4.7500,-29.461718
5.0000,-29.441914
5.2500,-29.498922
5.5000,-29.633095
5.7500,-29.845001
6.0000,-30.134638
6.2500,-30.499817
6.5000,-30.933077
6.7500,-31.416550
7.0000,-31.913149
7.2500,-32.355392
7.5000,-32.638248
7.7500,-32.635307
8.0000,-32.253128
8.2500,-31.491920
8.5000,-30.444717
8.7500,-29.236233
9.0000,-27.969074
9.2500,-26.708302
9.5000,-25.488506
9.7500,-24.325216
10.0000,-23.223389
10.2500,-22.182600
10.5000,-21.199921
10.7500,-20.271400
11.0000,-19.392868
11.2500,-18.560244
11.5000,-17.769775
11.7500,-17.018015
12.0000,-16.301891
12.2500,-15.618649
12.5000,-14.965828
12.7500,-14.341248
13.0000,-13.742953
13.2500,-13.169203
13.5000,-12.618432
13.7500,-12.089238
14.0000,-11.580353
14.2500,-11.090642
14.5000,-10.619063
14.7500,-10.164680
15.0000,-9.726638
15.2500,-9.304153
15.5000,-8.896505
15.7500,-8.503044
16.0000,-8.123160
16.2500,-7.756300
16.5000,-7.401943
16.7500,-7.059618
17.0000,-6.728880
17.2500,-6.409316
17.5000,-6.100544
17.7500,-5.802205
18.0000,-5.513969
18.2500,-5.235526
18.5000,-4.966574
18.7500,-4.706846
19.0000,-4.456082
19.2500,-4.214039
19.5000,-3.980488
19.7500,-3.755215
20.0000,-3.538016
20.2500,-3.328699
20.5000,-3.127079
20.7500,-2.932990
21.0000,-2.746264
21.2500,-2.566749
21.5000,-2.394297
21.7500,-2.228768
22.0000,-2.070029
22.2500,-1.917956
22.5000,-1.772427
22.7500,-1.633332
23.0000,-1.500559
23.2500,-1.374001
23.5000,-1.253567
23.7500,-1.139155
24.0000,-1.030684
24.2500,-0.928058
24.5000,-0.831202
24.7500,-0.740035
25.0000,-0.654484
25.2500,-0.574475
25.5000,-0.499944
25.7500,-0.430823
26.0000,-0.367052
26.2500,-0.308569
26.5000,-0.255320
26.7500,-0.207251
27.0000,-0.164310
27.2500,-0.126447
27.5000,-0.093618
27.7500,-0.065777
28.0000,-0.042882
28.2500,-0.024894
28.5000,-0.011775
28.7500,-0.003489
29.0000,0.000000
29.2500,-0.001281
29.5000,-0.007297
29.7500,-0.018022
30.0000,-0.033430
30.2500,-0.053496
30.5000,-0.078197
30.7500,-0.107513
31.0000,-0.141424
31.2500,-0.179913
31.5000,-0.222962
31.7500,-0.270559
32.0000,-0.322693
32.2500,-0.379351
32.5000,-0.440523
32.7500,-0.506203
33.0000,-0.576388
