element,amplitude,phase_rad,phase_deg
0,0.20751609,2.04480648,117.1588
1,0.60369182,1.96954823,112.8468
2,0.61886132,0.05462196,3.1296
3,0.58776635,-2.55539441,-146.4133
4,0.57806438,2.34121346,134.1417
5,0.56477678,0.99938881,57.2608
6,0.52757239,-1.38456261,-79.3296
7,0.28628144,-2.70576954,-155.0292
8,0.26661396,2.07555628,118.9206
9,0.58126342,1.29569292,74.2377
10,0.68004781,-0.52039957,-29.8167
11,0.60052967,-2.54773998,-145.9747
12,0.46951571,2.30311275,131.9586
13,0.56670350,0.78886849,45.1988
14,0.57556528,0.52147198,29.8781
15,0.23668568,-1.88827646,-108.1903
16,0.26699734,2.23193908,127.8807
17,0.51893038,1.15356100,66.0942
18,0.53494203,-1.15855634,-66.3804
19,0.55727321,-2.57598042,-147.5928
20,0.50675976,2.23245859,127.9105
21,0.60403812,1.01219714,57.9946
22,0.54142272,0.17752153,10.1712
23,0.25390342,-2.23054600,-127.8009
24,0.26732612,1.99418330,114.2583
25,0.51239645,-0.83357430,-47.7603
26,0.56949705,-0.83351010,-47.7566
27,0.64612913,-2.62390971,-150.3390
28,0.56278098,2.34306622,134.2478
29,0.61961436,0.00233484,0.1338
30,0.56267726,-1.19638622,-68.5479
31,0.18152963,-2.31877899,-132.8562
32,0.22479516,2.47072840,141.5623
33,0.59658384,0.19775540,11.3305
34,0.56433272,-1.90833974,-109.3398
35,0.53809899,-2.54573798,-145.8600
36,0.77223629,2.52025914,144.4002
37,0.62212807,-0.23974077,-13.7361
38,0.47861427,-0.80970067,-46.3924
39,0.29810408,-2.67343974,-153.1768
40,0.22438349,2.13921714,122.5681
41,0.44252297,1.00153494,57.3837
42,0.56244284,-2.38755679,-136.7969
43,0.67711306,-2.64818001,-151.7295
44,0.50383472,2.28240538,130.7722
45,0.55026156,0.77884501,44.6245
46,0.50548929,0.16968881,9.7225
47,0.20884827,-2.02501798,-116.0250
48,0.17746934,1.54746246,88.6631
49,0.59195805,0.30504379,17.4777
50,0.56382334,-0.38301307,-21.9450
51,0.62266225,-2.57383633,-147.4700
52,0.48893955,2.22749925,127.6263
53,0.53331411,0.85377681,48.9178
54,0.55546296,-1.76090574,-100.8925
55,0.24391581,-2.39063764,-136.9734
56,0.26563081,2.70329380,154.8873
57,0.58163744,-1.18565035,-67.9328
58,0.61036050,-1.00575030,-57.6252
59,0.55123711,-2.54660225,-145.9096
60,0.60956156,2.42535377,138.9625
61,0.60244483,1.97672796,113.2582
62,0.59604859,-1.19067216,-68.2205
63,0.23119010,-2.27210951,-130.1823
