theta_deg,pattern_db
-23.7500,-1.488003
-23.5000,-1.624442
-23.2500,-1.767685
-23.0000,-1.917864
-22.7500,-2.075130
-22.5000,-2.239628
-22.2500,-2.411524
-22.0000,-2.590986
-21.7500,-2.778196
-21.5000,-2.973347
-21.2500,-3.176637
-21.0000,-3.388288
-20.7500,-3.608533
-20.5000,-3.837617
-20.2500,-4.075809
-20.0000,-4.323382
-19.7500,-4.580647
-19.5000,-4.847924
-19.2500,-5.125569
-19.0000,-5.413958
-18.7500,-5.713497
-18.5000,-6.024630
-18.2500,-6.347834
-18.0000,-6.683632
-17.7500,-7.032595
-17.5000,-7.395348
-17.2500,-7.772570
-17.0000,-8.165018
-16.7500,-8.573522
-16.5000,-8.999006
-16.2500,-9.442502
-16.0000,-9.905159
-15.7500,-10.388274
-15.5000,-10.893303
-15.2500,-11.421915
-15.0000,-11.976008
-14.7500,-12.557770
-14.5000,-13.169743
-14.2500,-13.814898
-14.0000,-14.496736
-13.7500,-15.219448
-13.5000,-15.988069
-13.2500,-16.808775
-13.0000,-17.689220
-12.7500,-18.639071
-12.5000,-19.670780
-12.2500,-20.800797
-12.0000,-22.051420
-11.7500,-23.454067
-11.5000,-25.054848
-11.2500,-26.925413
-11.0000,-29.185547
-10.7500,-32.056015
-10.5000,-35.996483
-10.2500,-41.897182
-10.0000,-44.388691
-9.7500,-38.479809
-9.5000,-34.465782
-9.2500,-31.795055
-9.0000,-29.859732
-8.7500,-28.378012
-8.5000,-27.203474
-8.2500,-26.251432
-8.0000,-25.468807
-7.7500,-24.820274
-7.5000,-24.281227
-7.2500,-23.833883
-7.0000,-23.465034
-6.7500,-23.164631
-6.5000,-22.924873
-6.2500,-22.739630
-6.0000,-22.604006
-5.7500,-22.514059
-5.5000,-22.466560
-5.2500,-22.458839
-5.0000,-22.488682
-4.7500,-22.554178
-4.5000,-22.653637
-4.2500,-22.785534
-4.0000,-22.948359
-3.7500,-23.140554
-3.5000,-23.360382
-3.2500,-23.605785
-3.0000,-23.874228
-2.7500,-24.162474
-2.5000,-24.466341
-2.2500,-24.780468
-2.0000,-25.097984
-1.7500,-25.410320
-1.5000,-25.707108
-1.2500,-25.976307
-1.0000,-26.204834
-0.7500,-26.379520
-0.5000,-26.488678
-0.2500,-26.523766
0.0000,-26.480848
0.2500,-26.361259
0.5000,-26.171356
0.7500,-25.921286
1.0000,-25.623367
1.2500,-25.290422
1.5000,-24.934563
1.7500,-24.566387
2.0000,-24.194698
2.2500,-23.826466
2.5000,-23.467072
2.7500,-23.120491
3.0000,-22.789583
3.2500,-22.476353
3.5000,-22.182138
3.7500,-21.907799
4.0000,-21.653820
4.2500,-21.420450
4.5000,-21.207733
4.7500,-21.015621
5.0000,-20.843948
5.2500,-20.692551
5.5000,-20.561211
5.7500,-20.449707
6.0000,-20.357857
6.2500,-20.285461
6.5000,-20.232363
6.7500,-20.198456
7.0000,-20.183624
7.2500,-20.187845
7.5000,-20.211105
7.7500,-20.253445
8.0000,-20.314972
8.2500,-20.395823
8.5000,-20.496195
8.7500,-20.616356
9.0000,-20.756641
9.2500,-20.917435
9.5000,-21.099213
9.7500,-21.302517
10.0000,-21.527987
10.2500,-21.776348
10.5000,-22.048445
10.7500,-22.345201
11.0000,-22.667704
11.2500,-23.017128
11.5000,-23.394815
11.7500,-23.802244
12.0000,-24.241018
12.2500,-24.712902
12.5000,-25.219730
12.7500,-25.763376
13.0000,-26.345633
13.2500,-26.967985
13.5000,-27.631226
13.7500,-28.334831
14.0000,-29.075918
14.2500,-29.847530
14.5000,-30.636148
14.7500,-31.418205
15.0000,-32.156391
15.2500,-32.797943
15.5000,-33.279480
15.7500,-33.542530
16.0000,-33.556301
16.2500,-33.332611
16.5000,-32.920052
16.7500,-32.382420
17.0000,-31.778725
17.2500,-31.153606
17.5000,-30.536726
17.7500,-29.945885
18.0000,-29.390877
18.2500,-28.876339
18.5000,-28.403883
18.7500,-27.973368
19.0000,-27.583733
19.2500,-27.233484
19.5000,-26.920950
19.7500,-26.644468
20.0000,-26.402452
20.2500,-26.193487
20.5000,-26.016270
20.7500,-25.869684
21.0000,-25.752810
21.2500,-25.664848
21.5000,-25.605175
21.7500,-25.573345
22.0000,-25.569038
22.2500,-25.592079
22.5000,-25.642471
22.7500,-25.720341
23.0000,-25.825975
23.2500,-25.959789
23.5000,-26.122417
23.7500,-26.314611
24.0000,-26.537296
24.2500,-26.791626
24.5000,-27.078861
24.7500,-27.400570
25.0000,-27.758335
25.2500,-28.154057
25.5000,-28.589573
25.7500,-29.066763
26.0000,-29.587223
26.2500,-30.151783
26.5000,-30.759947
26.7500,-31.408546
27.0000,-32.089916
27.2500,-32.788692
27.5000,-33.477657
27.7500,-34.113483
28.0000,-34.634739
28.2500,-34.969334
28.5000,-35.055473
28.7500,-34.868790
29.0000,-34.435310
29.2500,-33.817554
29.5000,-33.087242
29.7500,-32.304920
30.0000,-31.513027
30.2500,-30.737942
30.5000,-29.994459
30.7500,-29.289780
31.0000,-28.626617
31.2500,-28.005234
31.5000,-27.424385
31.7500,-26.882141
32.0000,-26.376446
32.2500,-25.905033
32.5000,-25.465738
32.7500,-25.056561
33.0000,-24.675638
33.2500,-24.321213
33.5000,-23.991816
33.7500,-23.685961
34.0000,-23.402460
34.2500,-23.140135
34.5000,-22.897964
34.7500,-22.675058
35.0000,-22.470558
35.2500,-22.283752
35.5000,-22.113991
35.7500,-21.960642
36.0000,-21.823206
36.2500,-21.701195
36.5000,-21.594217
36.7500,-21.501873
37.0000,-21.423855
37.2500,-21.359900
37.5000,-21.309717
37.7500,-21.273165
38.0000,-21.250046
38.2500,-21.240215
38.5000,-21.243628
38.7500,-21.260176
39.0000,-21.289854
39.2500,-21.332655
39.5000,-21.388641
