theta_deg,pattern_db
-23.7500,-31.020124
-23.5000,-30.392059
-23.2500,-29.824928
-23.0000,-29.311325
-22.7500,-28.844963
-22.5000,-28.420582
-22.2500,-28.033676
-22.0000,-27.680359
-21.7500,-27.357224
-21.5000,-27.061274
-21.2500,-26.789871
-21.0000,-26.540583
-20.7500,-26.311216
-20.5000,-26.099766
-20.2500,-25.904320
-20.0000,-25.723106
-19.7500,-25.554457
-19.5000,-25.396765
-19.2500,-25.248505
-19.0000,-25.108202
-18.7500,-24.974461
-18.5000,-24.845942
-18.2500,-24.721386
-18.0000,-24.599606
-17.7500,-24.479492
-17.5000,-24.360037
-17.2500,-24.240358
-17.0000,-24.119678
-16.7500,-23.997355
-16.5000,-23.872873
-16.2500,-23.745882
-16.0000,-23.616163
-15.7500,-23.483643
-15.5000,-23.348396
-15.2500,-23.210629
-15.0000,-23.070662
-14.7500,-22.928936
-14.5000,-22.785986
-14.2500,-22.642414
-14.0000,-22.498903
-13.7500,-22.356165
-13.5000,-22.214962
-13.2500,-22.076056
-13.0000,-21.940233
-12.7500,-21.808277
-12.5000,-21.680946
-12.2500,-21.558998
-12.0000,-21.443157
-11.7500,-21.334145
-11.5000,-21.232634
-11.2500,-21.139288
-11.0000,-21.054749
-10.7500,-20.979631
-10.5000,-20.914534
-10.2500,-20.860033
-10.0000,-20.816719
-9.7500,-20.785152
-9.5000,-20.765892
-9.2500,-20.759516
-9.0000,-20.766592
-8.7500,-20.787727
-8.5000,-20.823532
-8.2500,-20.874643
-8.0000,-20.941746
-7.7500,-21.025560
-7.5000,-21.126862
-7.2500,-21.246492
-7.0000,-21.385365
-6.7500,-21.544485
-6.5000,-21.724964
-6.2500,-21.928028
-6.0000,-22.155064
-5.7500,-22.407618
-5.5000,-22.687437
-5.2500,-22.996523
-5.0000,-23.337137
-4.7500,-23.711910
-4.5000,-24.123837
-4.2500,-24.576443
-4.0000,-25.073805
-3.7500,-25.620699
-3.5000,-26.222725
-3.2500,-26.886404
-3.0000,-27.619284
-2.7500,-28.429853
-2.5000,-29.327148
-2.2500,-30.319338
-2.0000,-31.410294
-1.7500,-32.591042
-1.5000,-33.821064
-1.2500,-34.993092
-1.0000,-35.894920
-0.7500,-36.248058
-0.5000,-35.908871
-0.2500,-35.020870
0.0000,-33.862869
0.2500,-32.647755
0.5000,-31.483376
0.7500,-30.410797
1.0000,-29.439442
1.2500,-28.565969
1.5000,-27.782667
1.7500,-27.081047
2.0000,-26.453133
2.2500,-25.892033
2.5000,-25.391842
2.7500,-24.947655
3.0000,-24.555485
3.2500,-24.212095
3.5000,-23.914911
3.7500,-23.661947
4.0000,-23.451769
4.2500,-23.283394
4.5000,-23.156311
4.7500,-23.070431
5.0000,-23.026094
5.2500,-23.024124
5.5000,-23.065784
5.7500,-23.152857
6.0000,-23.287704
6.2500,-23.473381
6.5000,-23.713665
6.7500,-24.013245
7.0000,-24.377800
7.2500,-24.814209
7.5000,-25.330494
7.7500,-25.935728
8.0000,-26.639174
8.2500,-27.447918
8.5000,-28.360756
8.7500,-29.353487
9.0000,-30.347805
9.2500,-31.163141
9.5000,-31.506462
9.7500,-31.133327
10.0000,-30.095121
10.2500,-28.679935
10.5000,-27.152836
10.7500,-25.657719
11.0000,-24.251348
11.2500,-22.948000
11.5000,-21.744789
11.7500,-20.632938
12.0000,-19.602486
12.2500,-18.643984
12.5000,-17.749041
12.7500,-16.910461
13.0000,-16.122063
13.2500,-15.378611
13.5000,-14.675637
13.7500,-14.009323
14.0000,-13.376381
14.2500,-12.773987
14.5000,-12.199673
14.7500,-11.651296
15.0000,-11.126971
15.2500,-10.625034
15.5000,-10.144019
15.7500,-9.682615
16.0000,-9.239651
16.2500,-8.814081
16.5000,-8.404956
16.7500,-8.011427
17.0000,-7.632714
17.2500,-7.268115
17.5000,-6.916986
17.7500,-6.578736
18.0000,-6.252833
18.2500,-5.938778
18.5000,-5.636108
18.7500,-5.344405
19.0000,-5.063275
19.2500,-4.792356
19.5000,-4.531309
19.7500,-4.279823
20.0000,-4.037601
20.2500,-3.804371
20.5000,-3.579873
20.7500,-3.363868
21.0000,-3.156135
21.2500,-2.956459
21.5000,-2.764639
21.7500,-2.580485
22.0000,-2.403825
22.2500,-2.234489
22.5000,-2.072323
22.7500,-1.917173
23.0000,-1.768898
23.2500,-1.627369
23.5000,-1.492454
23.7500,-1.364035
24.0000,-1.241999
24.2500,-1.126237
24.5000,-1.016643
24.7500,-0.913124
25.0000,-0.815583
25.2500,-0.723938
25.5000,-0.638097
25.7500,-0.557988
26.0000,-0.483528
26.2500,-0.414651
26.5000,-0.351283
26.7500,-0.293363
27.0000,-0.240826
27.2500,-0.193613
27.5000,-0.151671
27.7500,-0.114944
28.0000,-0.083384
28.2500,-0.056942
28.5000,-0.035571
28.7500,-0.019231
29.0000,-0.007881
29.2500,-0.001483
29.5000,0.000000
29.7500,-0.003401
30.0000,-0.011653
30.2500,-0.024727
30.5000,-0.042597
30.7500,-0.065235
31.0000,-0.092621
31.2500,-0.124732
31.5000,-0.161551
31.7500,-0.203059
32.0000,-0.249242
32.2500,-0.300087
32.5000,-0.355581
32.7500,-0.415713
33.0000,-0.480483
33.2500,-0.549878
33.5000,-0.623898
33.7500,-0.702541
34.0000,-0.785810
34.2500,-0.873703
34.5000,-0.966227
34.7500,-1.063392
35.0000,-1.165202
35.2500,-1.271670
35.5000,-1.382815
35.7500,-1.498647
36.0000,-1.619186
36.2500,-1.744457
36.5000,-1.874477
36.7500,-2.009281
37.0000,-2.148896
37.2500,-2.293350
37.5000,-2.442682
37.7500,-2.596935
38.0000,-2.756145
38.2500,-2.920359
38.5000,-3.089633
38.7500,-3.264013
39.0000,-3.443569
39.2500,-3.628350
39.5000,-3.818433
39.7500,-4.013889
40.0000,-4.214793
40.2500,-4.421232
40.5000,-4.633294
40.7500,-4.851080
41.0000,-5.074689
41.2500,-5.304239
41.5000,-5.539844
41.7500,-5.781637
42.0000,-6.029748
42.2500,-6.284334
42.5000,-6.545550
42.7500,-6.813568
43.0000,-7.088575
43.2500,-7.370770
43.5000,-7.660361
43.7500,-7.957583
44.0000,-8.262695
44.2500,-8.575951
44.5000,-8.897668
44.7500,-9.228136
45.0000,-9.567733
45.2500,-9.916808
45.5000,-10.275782
45.7500,-10.645112
46.0000,-11.025282
46.2500,-11.416831
46.5000,-11.820353
46.7500,-12.236496
47.0000,-12.665993
47.2500,-13.109648
47.5000,-13.568333
47.7500,-14.043034
48.0000,-14.534864
48.2500,-15.045046
48.5000,-15.574984
48.7500,-16.126230
49.0000,-16.700552
49.2500,-17.299938
49.5000,-17.926653
49.7500,-18.583248
50.0000,-19.272671
50.2500,-19.998156
50.5000,-20.763409
50.7500,-21.572472
51.0000,-22.429691
51.2500,-23.339422
51.5000,-24.305449
51.7500,-25.329760
52.0000,-26.410093
52.2500,-27.535233
52.5000,-28.676538
52.7500,-29.775278
53.0000,-30.729919
53.2500,-31.401979
53.5000,-31.667290
53.7500,-31.495897
54.0000,-30.975533
54.2500,-30.247316
54.5000,-29.433565
54.7500,-28.612354
55.0000,-27.824965
55.2500,-27.089581
55.5000,-26.412020
55.7500,-25.791817
56.0000,-25.225847
56.2500,-24.709894
56.5000,-24.239569
56.7500,-23.810600
57.0000,-23.419132
57.2500,-23.061623
57.5000,-22.734997
57.7500,-22.436504
58.0000,-22.163712
58.2500,-21.914459
58.5000,-21.686878
58.7500,-21.479252
59.0000,-21.290121
59.2500,-21.118147
59.5000,-20.962120
59.7500,-20.820976
60.0000,-20.693739
60.2500,-20.579575
60.5000,-20.477661
60.7500,-20.387310
61.0000,-20.307844
61.2500,-20.238686
61.5000,-20.179264
61.7500,-20.129099
62.0000,-20.087711
62.2500,-20.054682
62.5000,-20.029604
62.7500,-20.012119
63.0000,-20.001879
63.2500,-19.998552
63.5000,-20.001848
63.7500,-20.011475
64.0000,-20.027164
64.2500,-20.048668
64.5000,-20.075739
64.7500,-20.108162
65.0000,-20.145691
65.2500,-20.188158
65.5000,-20.235363
65.7500,-20.287075
66.0000,-20.343147
66.2500,-20.403378
66.5000,-20.467615
66.7500,-20.535658
67.0000,-20.607388
67.2500,-20.682592
67.5000,-20.761162
67.7500,-20.842915
68.0000,-20.927698
68.2500,-21.015385
68.5000,-21.105785
68.7500,-21.198780
69.0000,-21.294189
69.2500,-21.391891
69.5000,-21.491734
69.7500,-21.593554
70.0000,-21.697199
70.2500,-21.802523
70.5000,-21.909380
70.7500,-22.017611
71.0000,-22.127037
71.2500,-22.237526
71.5000,-22.348900
71.7500,-22.461031
72.0000,-22.573723
72.2500,-22.686813
72.5000,-22.800144
72.7500,-22.913548
73.0000,-23.026863
73.2500,-23.139896
73.5000,-23.252504
73.7500,-23.364504
74.0000,-23.475735
74.2500,-23.586035
74.5000,-23.695194
74.7500,-23.803112
75.0000,-23.909599
75.2500,-24.014481
75.5000,-24.117630
75.7500,-24.218880
