theta_deg,pattern_db
-90.0000,-33.172951
-89.7500,-33.171459
-89.5000,-33.166981
-89.2500,-33.159492
-89.0000,-33.149010
-88.7500,-33.135574
-88.5000,-33.119202
-88.2500,-33.099915
-88.0000,-33.077705
-87.7500,-33.052601
-87.5000,-33.024696
-87.2500,-32.994003
-87.0000,-32.960503
-86.7500,-32.924271
-86.5000,-32.885441
-86.2500,-32.843979
-86.0000,-32.799911
-85.7500,-32.753365
-85.5000,-32.704304
-85.2500,-32.652870
-85.0000,-32.599144
-84.7500,-32.543137
-84.5000,-32.484890
-84.2500,-32.424583
-84.0000,-32.362133
-83.7500,-32.297684
-83.5000,-32.231300
-83.2500,-32.163052
-83.0000,-32.093040
-82.7500,-32.021282
-82.5000,-31.947947
-82.2500,-31.872980
-82.0000,-31.796597
-81.7500,-31.718733
-81.5000,-31.639561
-81.2500,-31.559113
-81.0000,-31.477448
-80.7500,-31.394606
-80.5000,-31.310768
-80.2500,-31.225939
-80.0000,-31.140196
-79.7500,-31.053658
-79.5000,-30.966265
-79.2500,-30.878220
-79.0000,-30.789497
-78.7500,-30.700171
-78.5000,-30.610418
-78.2500,-30.520172
-78.0000,-30.429554
-77.7500,-30.338577
-77.5000,-30.247355
-77.2500,-30.155947
-77.0000,-30.064350
-76.7500,-29.972723
-76.5000,-29.880953
-76.2500,-29.789274
-76.0000,-29.697599
-75.7500,-29.606077
-75.5000,-29.514673
-75.2500,-29.423502
-75.0000,-29.332565
-74.7500,-29.241924
-74.5000,-29.151592
-74.2500,-29.061670
-74.0000,-28.972145
-73.7500,-28.883072
-73.5000,-28.794472
-73.2500,-28.706388
-73.0000,-28.618881
-72.7500,-28.531961
-72.5000,-28.445627
-72.2500,-28.359932
-72.0000,-28.274948
-71.7500,-28.190624
-71.5000,-28.107004
-71.2500,-28.024132
-71.0000,-27.942009
-70.7500,-27.860682
-70.5000,-27.780125
-70.2500,-27.700384
-70.0000,-27.621445
-69.7500,-27.543346
-69.5000,-27.466084
-69.2500,-27.389675
-69.0000,-27.314095
-68.7500,-27.239399
-68.5000,-27.165573
-68.2500,-27.092583
-68.0000,-27.020443
-67.7500,-26.949169
-67.5000,-26.878773
-67.2500,-26.809185
-67.0000,-26.740438
-66.7500,-26.672497
-66.5000,-26.605392
-66.2500,-26.539074
-66.0000,-26.473526
-65.7500,-26.408731
-65.5000,-26.344688
-65.2500,-26.281349
-65.0000,-26.218683
-64.7500,-26.156673
-64.5000,-26.095304
-64.2500,-26.034534
-64.0000,-25.974316
-63.7500,-25.914648
-63.5000,-25.855473
-63.2500,-25.796740
-63.0000,-25.738430
-62.7500,-25.680504
-62.5000,-25.622890
-62.2500,-25.565577
-62.0000,-25.508497
-61.7500,-25.451622
-61.5000,-25.394920
-61.2500,-25.338303
-61.0000,-25.281769
-60.7500,-25.225246
-60.5000,-25.168703
-60.2500,-25.112068
-60.0000,-25.055344
-59.7500,-24.998451
-59.5000,-24.941368
-59.2500,-24.884069
-59.0000,-24.826479
-58.7500,-24.768602
-58.5000,-24.710392
-58.2500,-24.651840
-58.0000,-24.592897
-57.7500,-24.533579
-57.5000,-24.473843
-57.2500,-24.413704
-57.0000,-24.353140
-56.7500,-24.292156
-56.5000,-24.230774
-56.2500,-24.168999
-56.0000,-24.106846
-55.7500,-24.044352
-55.5000,-23.981541
-55.2500,-23.918465
-55.0000,-23.855145
-54.7500,-23.791649
-54.5000,-23.728039
-54.2500,-23.664368
-54.0000,-23.600721
-53.7500,-23.537157
-53.5000,-23.473776
