element,amplitude,phase_rad,phase_deg
0,0.27963614,1.87166858,107.2387
1,0.46678197,1.41839325,81.2679
2,0.58233160,-0.16376241,-9.3829
3,0.67001551,-0.05757654,-3.2989
4,0.65277493,-0.48073891,-27.5443
5,0.58573121,0.04153753,2.3799
6,0.39971828,-0.98938507,-56.6876
7,0.28695536,2.03618336,116.6647
8,0.33263755,-2.26479483,-129.7632
9,0.48007491,0.96037686,55.0255
10,0.59546816,-0.03330389,-1.9082
11,0.68100506,-0.26291648,-15.0640
12,0.60370034,-0.31727567,-18.1786
13,0.58229870,-0.33999193,-19.4801
14,0.42417249,0.10808430,6.1928
15,0.28771037,1.31203890,75.1743
16,0.30688611,-0.67705655,-38.7925
17,0.45829791,0.08560470,4.9048
18,0.54371494,-0.29270145,-16.7706
19,0.65744358,0.17424649,9.9836
20,0.64087003,0.44276154,25.3684
21,0.54794538,0.07796731,4.4672
22,0.46913487,0.22930294,13.1381
23,0.35120201,-2.41441393,-138.3357
24,0.32320607,0.81866246,46.9059
25,0.45316783,-0.17351539,-9.9417
26,0.57226795,0.32346180,18.5330
27,0.65073383,0.15517657,8.8910
28,0.65748203,0.29360625,16.8224
29,0.56724006,-0.04136612,-2.3701
30,0.42842036,0.60469383,34.6464
31,0.36233366,0.43277317,24.7961
32,0.33089620,-1.98445845,-113.7011
33,0.46178484,0.19402654,11.1169
34,0.64437729,-0.05027182,-2.8804
35,0.63692456,0.06472974,3.7087
36,0.64023125,0.03817061,2.1870
37,0.51242161,-0.22441763,-12.8582
38,0.43793139,0.64977175,37.2292
39,0.28063124,-0.21823399,-12.5039
40,0.28994054,-0.04386652,-2.5134
41,0.42888394,-0.67922986,-38.9170
42,0.53351265,-0.02478452,-1.4200
43,0.64192402,-0.20169264,-11.5561
44,0.66301060,0.27245888,15.6107
45,0.60177034,-0.13561372,-7.7701
46,0.42605063,-0.56645381,-32.4554
47,0.30409250,-0.89576983,-51.3238
48,0.33381918,-0.05864020,-3.3598
49,0.43427208,0.10611865,6.0802
50,0.60539913,-0.31838045,-18.2419
51,0.69276100,0.11338470,6.4965
52,0.63267446,-0.02300007,-1.3178
53,0.59686899,-0.06528099,-3.7403
54,0.41531911,-0.94228947,-53.9892
55,0.31584695,0.02597350,1.4882
56,0.31861824,0.11148527,6.3876
57,0.41896170,-0.27966279,-16.0235
58,0.58750206,-0.04853771,-2.7810
59,0.66896784,-0.11227892,-6.4331
60,0.63581830,0.29251215,16.7597
61,0.62912303,-0.38559952,-22.0932
62,0.44486362,0.58801347,33.6907
63,0.27215126,0.26795098,15.3525
