row,col,sum_amp,sum_phase_deg,diff_amp,diff_phase_deg
0,0,0.00000000,44.999978,0.00000000,-135.000022
0,1,0.00000000,-44.999983,0.00000000,135.171462
0,2,0.00000000,44.999945,0.00000000,-133.743378
0,3,0.00000000,134.999978,0.00000000,-45.373493
0,4,0.00000000,-134.999981,0.00000000,41.562177
0,5,0.00000000,-45.000055,0.00000000,133.687884
0,6,0.00000001,44.999981,0.00000001,-131.490823
0,7,0.00000001,134.999964,0.00000001,-37.836207
0,8,0.00000001,-135.000003,0.00000001,49.531823
0,9,0.00000001,-45.000018,0.00000001,136.326825
0,10,0.00000002,44.999964,0.00000002,-137.208440
0,11,0.00000002,134.999997,0.00000002,-45.170585
0,12,0.00000002,-135.000018,0.00000002,43.951607
0,13,0.00000003,-45.000008,0.00000003,134.424433
0,14,0.00000003,45.000002,0.00000003,-126.521347
0,15,0.00000003,134.999998,0.00000003,-40.780396
0,16,0.00000003,-134.999998,0.00000003,-139.219608
0,17,0.00000003,-45.000002,0.00000003,-53.478653
0,18,0.00000003,45.000005,0.00000003,45.575564
0,19,0.00000002,135.000018,0.00000002,136.048399
0,20,0.00000002,-135.000000,0.00000002,-134.829414
0,21,0.00000002,-44.999966,0.00000002,-42.791562
0,22,0.00000001,45.000018,0.00000001,43.673177
0,23,0.00000001,135.000000,0.00000001,130.468175
0,24,0.00000001,-134.999962,0.00000001,-142.163787
0,25,0.00000001,-44.999981,0.00000001,-48.509175
0,26,0.00000000,45.000057,0.00000000,46.312115
0,27,0.00000000,134.999983,0.00000000,138.437821
0,28,0.00000000,-134.999978,0.00000000,-134.626507
0,29,0.00000000,-44.999945,0.00000000,-46.256622
0,30,0.00000000,44.999983,0.00000000,44.828540
0,31,0.00000000,-44.999978,0.00000000,-44.999978
1,0,0.00000000,-135.000022,0.00000000,44.862992
1,1,0.00001419,135.000018,0.00002120,-42.879035
1,2,0.00005917,-135.000055,0.00008826,49.514203
1,3,0.00014151,-45.000021,0.00021052,141.862679
1,4,0.00027038,45.000017,0.00040328,-133.830523
1,5,0.00045509,134.999946,0.00067596,-48.449057
1,6,0.00070238,-135.000017,0.00104189,43.506623
1,7,0.00101378,-45.000037,0.00145031,129.732432
1,8,0.00138372,45.000000,0.00188120,-146.390920
1,9,0.00179855,134.999984,0.00181626,-51.055129
1,10,0.00223686,-135.000036,0.00216659,55.683033
1,11,0.00267108,-45.000004,0.00288769,156.164110
1,12,0.00307020,44.999982,0.00339403,-121.348721
1,13,0.00340313,134.999994,0.00279426,-47.299570
1,14,0.00364240,-134.999997,0.00212272,32.036443
1,15,0.00376750,-45.000003,0.00209546,114.915390
1,16,0.00376750,45.000003,0.00209546,65.084598
1,17,0.00364240,134.999997,0.00212272,147.963587
1,18,0.00340313,-134.999992,0.00279426,-132.700400
1,19,0.00307020,-44.999982,0.00339403,-58.651319
1,20,0.00267108,45.000002,0.00288770,23.835945
1,21,0.00223685,135.000036,0.00216659,124.316985
1,22,0.00179855,-134.999982,0.00181626,-128.944966
1,23,0.00138372,-44.999997,0.00188120,-33.609108
1,24,0.00101378,45.000035,0.00145031,50.267557
1,25,0.00070238,135.000020,0.00104189,136.493355
1,26,0.00045509,-134.999946,0.00067596,-131.550967
1,27,0.00027038,-45.000017,0.00040328,-46.169495
1,28,0.00014151,45.000023,0.00021052,38.137315
1,29,0.00005917,135.000055,0.00008826,130.485795
