row,col,sum_amp,sum_phase_deg,diff_amp,diff_phase_deg
0,0,0.00000000,-103.789212,0.00000000,76.210818
0,1,0.00000000,-80.345974,0.00000000,96.519113
0,2,0.00000000,122.184650,0.00000000,-69.574551
0,3,0.00000000,-33.856382,0.00000000,125.024198
0,4,0.00000000,173.302541,0.00000000,-30.117240
0,5,0.00000000,21.593730,0.00000000,-152.576638
0,6,0.00000001,-129.863604,0.00000001,67.898302
0,7,0.00000001,75.839329,0.00000001,-97.080367
0,8,0.00000001,-87.636089,0.00000001,97.700734
0,9,0.00000001,110.244096,0.00000001,-68.123769
0,10,0.00000002,-42.656585,0.00000002,115.794530
0,11,0.00000002,162.832524,0.00000002,-37.624501
0,12,0.00000002,6.830173,0.00000003,-175.654441
0,13,0.00000003,-149.158608,0.00000003,48.170524
0,14,0.00000003,53.618939,0.00000003,-97.154531
0,15,0.00000003,-103.557937,0.00000003,102.805057
0,16,0.00000003,103.557940,0.00000003,77.194964
0,17,0.00000003,-53.618934,0.00000003,-82.845408
0,18,0.00000003,149.158607,0.00000003,131.829558
0,19,0.00000002,-6.830178,0.00000003,-4.345514
0,20,0.00000002,-162.832523,0.00000002,-142.375593
0,21,0.00000002,42.656595,0.00000002,64.205392
0,22,0.00000001,-110.244097,0.00000001,-111.876268
0,23,0.00000001,87.636073,0.00000001,82.299249
0,24,0.00000001,-75.839338,0.00000001,-82.919651
0,25,0.00000001,129.863604,0.00000001,112.101712
0,26,0.00000000,-21.593726,0.00000000,-27.423255
0,27,0.00000000,-173.302535,0.00000000,-149.882723
0,28,0.00000000,33.856384,0.00000000,54.975796
0,29,0.00000000,-122.184645,0.00000000,-110.425443
0,30,0.00000000,80.345969,0.00000000,83.480858
0,31,0.00000000,103.789212,0.00000000,103.789182
1,0,0.00000000,75.577985,0.00000000,-108.398950
1,1,0.00001807,160.413980,0.00002128,-41.188949
1,2,0.00007515,-4.432854,0.00008868,157.157120
1,3,0.00017924,167.467896,0.00021207,-7.071418
1,4,0.00034845,-6.908805,0.00040508,-177.000422
1,5,0.00055345,-173.536052,0.00068112,11.770225
