theta_deg,sum_db,diff_db
-46.0000,-59.489941,-31.721022
-45.7500,-60.597504,-30.189426
-45.5000,-62.157253,-28.728582
-45.2500,-64.315979,-27.330256
-45.0000,-67.338493,-25.987743
-44.7500,-71.763054,-24.695852
-44.5000,-79.033600,-23.450447
-44.2500,-98.008606,-22.248043
-44.0000,-97.224464,-21.085966
-43.7500,-83.965469,-19.961864
-43.5000,-71.091682,-18.873981
-43.2500,-63.443340,-17.820768
-43.0000,-57.793022,-16.800978
-42.7500,-53.237061,-15.813593
-42.5000,-49.384888,-14.857778
-42.2500,-46.027237,-13.932814
-42.0000,-43.038826,-13.038159
-41.7500,-40.339108,-12.173308
-41.5000,-37.872223,-11.337894
-41.2500,-35.598274,-10.531592
-41.0000,-33.487579,-9.754199
-40.7500,-31.517555,-9.005491
-40.5000,-29.670391,-8.285374
-40.2500,-27.932051,-7.593746
-40.0000,-26.291012,-6.930558
-39.7500,-24.737932,-6.295828
-39.5000,-23.264927,-5.689590
-39.2500,-21.865446,-5.111934
-39.0000,-20.533953,-4.563004
-38.7500,-19.265572,-4.042940
-38.5000,-18.056282,-3.551990
-38.2500,-16.902439,-3.090387
-38.0000,-15.800953,-2.658458
-37.7500,-14.749084,-2.256572
-37.5000,-13.744397,-1.885145
-37.2500,-12.784801,-1.544679
-37.0000,-11.868383,-1.235735
-36.7500,-10.993451,-0.958959
-36.5000,-10.158516,-0.715096
-36.2500,-9.362248,-0.504991
-36.0000,-8.603416,-0.329602
-35.7500,-7.880969,-0.190042
-35.5000,-7.193930,-0.087580
-35.2500,-6.541433,-0.023671
-35.0000,-5.922725,0.000000
-34.7500,-5.337085,-0.018524
-34.5000,-4.783906,-0.081522
-34.2500,-4.262644,-0.191674
-34.0000,-3.772799,-0.352153
-33.7500,-3.313955,-0.566743
-33.5000,-2.885726,-0.840013
-33.2500,-2.487791,-1.177538
-33.0000,-2.119869,-1.586219
-32.7500,-1.781722,-2.074742
-32.5000,-1.473173,-2.654201
-32.2500,-1.194053,-3.339199
-32.0000,-0.944256,-4.149347
-31.7500,-0.723707,-5.111975
-31.5000,-0.532366,-6.266767
-31.2500,-0.370234,-7.674521
-31.0000,-0.237338,-9.435633
-30.7500,-0.133749,-11.734071
-30.5000,-0.059564,-14.967833
-30.2500,-0.014924,-20.308140
-30.0000,0.000000,-37.272724
-29.7500,-0.015000,-23.177328
-29.5000,-0.060168,-16.362722
-29.2500,-0.135788,-12.630209
-29.0000,-0.242179,-10.074165
-28.7500,-0.379705,-8.152288
-28.5000,-0.548772,-6.632884
-28.2500,-0.749829,-5.395317
-28.0000,-0.983374,-4.368746
-27.7500,-1.249955,-3.508023
-27.5000,-1.550176,-2.782628
-27.2500,-1.884693,-2.170954
-27.0000,-2.254231,-1.657148
-26.7500,-2.659580,-1.229231
-26.5000,-3.101607,-0.877922
-26.2500,-3.581254,-0.595875
-26.0000,-4.099560,-0.377148
-25.7500,-4.657657,-0.216856
-25.5000,-5.256780,-0.110891
-25.2500,-5.898295,-0.055739
-25.0000,-6.583704,-0.048328
-24.7500,-7.314656,-0.085906
-24.5000,-8.092984,-0.165951
-24.2500,-8.920705,-0.286087
-24.0000,-9.800057,-0.444003
-23.7500,-10.733552,-0.637414
-23.5000,-11.724010,-0.863974
-23.2500,-12.774588,-1.121244
-23.0000,-13.888847,-1.406614
-22.7500,-15.070859,-1.717287
-22.5000,-16.325243,-2.050198
-22.2500,-17.657389,-2.402021
-22.0000,-19.073484,-2.769086
-21.7500,-20.580791,-3.147406
-21.5000,-22.187927,-3.532666
-21.2500,-23.905146,-3.920251
-21.0000,-25.744905,-4.305290
-20.7500,-27.722483,-4.682769
-20.5000,-29.857002,-5.047635
-20.2500,-32.172829,-5.394964
-20.0000,-34.701752,-5.720152
-19.7500,-37.486526,-6.019101
-19.5000,-40.586697,-6.288442
-19.2500,-44.088936,-6.525717
-19.0000,-48.127399,-6.729497
-18.7500,-52.927208,-6.899481
-18.5000,-58.914036,-7.036503
-18.2500,-67.076149,-7.142469
-18.0000,-81.021202,-7.220235
-17.7500,-96.141968,-7.273428
-17.5000,-85.524284,-7.306251
-17.2500,-72.784531,-7.323272
-17.0000,-66.746948,-7.329233
-16.7500,-63.089569,-7.328864
-16.5000,-60.737232,-7.326757
-16.2500,-59.251740,-7.327264
-16.0000,-58.419361,-7.334413
-15.7500,-58.133728,-7.351884
-15.5000,-58.351765,-7.382975
-15.2500,-59.080200,-7.430634
-15.0000,-60.390404,-7.497463
-14.7500,-62.460548,-7.585744
-14.5000,-65.732887,-7.697482
-14.2500,-71.677696,-7.834454
-14.0000,-121.720039,-7.998231
-13.7500,-71.900223,-8.190239
-13.5000,-66.250122,-8.411795
-13.2500,-63.236092,-8.664145
-13.0000,-61.390747,-8.948528
-12.7500,-60.260918,-9.266209
-12.5000,-59.652443,-9.618532
-12.2500,-59.472004,-10.006989
-12.0000,-59.681263,-10.433256
-11.7500,-60.277134,-10.899311
-11.5000,-61.292694,-11.407475
-11.2500,-62.810139,-11.960565
-11.0000,-65.002548,-12.561999
-10.7500,-68.276779,-13.216027
-10.5000,-73.865372,-13.927917
-10.2500,-93.340111,-14.704346
-10.0000,-76.486916,-15.553839
-9.7500,-70.320183,-16.487499
-9.5000,-67.183289,-17.520063
-9.2500,-65.301323,-18.671539
-9.0000,-64.163750,-19.970062
-8.7500,-63.559193,-21.456766
-8.5000,-63.388771,-23.195137
-8.2500,-63.610249,-25.290850
-8.0000,-64.221237,-27.939903
-7.7500,-65.255020,-31.574509
-7.5000,-66.796082,-37.521591
-7.2500,-69.027199,-60.993404
-7.0000,-72.373817,-39.320541
-6.7500,-78.161346,-33.238651
-6.5000,-102.097549,-29.903479
-6.2500,-79.861267,-27.666082
-6.0000,-73.962280,-26.031446
-5.7500,-70.911896,-24.783756
-5.5000,-69.074257,-23.809841
-5.2500,-67.965645,-23.043348
-5.0000,-67.387070,-22.442455
-4.7500,-67.240753,-21.979458
-4.5000,-67.489639,-21.635445
-4.2500,-68.134949,-21.397346
-4.0000,-69.215324,-21.256197
-3.7500,-70.827049,-21.206078
-3.5000,-73.176895,-21.243496
-3.2500,-76.762131,-21.367033
-3.0000,-83.272919,-21.577171
-2.7500,-103.159225,-21.876369
-2.5000,-82.145805,-22.269175
-2.2500,-76.945618,-22.762722
-2.0000,-74.133820,-23.367390
-1.7500,-72.422493,-24.098022
-1.5000,-71.397507,-24.975882
-1.2500,-70.881828,-26.032093
-1.0000,-70.790390,-27.313911
-0.7500,-71.096466,-28.897226
-0.5000,-71.805008,-30.914280
-0.2500,-72.965233,-33.626743
0.0000,-74.688805,-37.677235
0.2500,-77.221291,-45.614777
0.5000,-81.172653,-51.737328
0.7500,-88.962311,-39.693481
1.0000,-96.397408,-34.887222
1.2500,-84.057373,-31.867649
1.5000,-79.562462,-29.688087
1.7500,-77.025063,-28.003460
2.0000,-75.462570,-26.648512
2.2500,-74.539200,-25.530985
2.5000,-74.102310,-24.594009
2.7500,-74.080215,-23.799934
3.0000,-74.453323,-23.122490
3.2500,-75.232285,-22.542526
3.5000,-76.481018,-22.045610
3.7500,-78.325211,-21.620539
4.0000,-81.056969,-21.258375
4.2500,-85.429611,-20.951834
4.5000,-95.042946,-20.694862
4.7500,-95.281685,-20.482300
5.0000,-86.067184,-20.309673
5.2500,-82.096321,-20.173052
5.5000,-79.780800,-20.068892
5.7500,-78.348816,-19.993971
6.0000,-77.509468,-19.945271
6.2500,-77.137245,-19.919971
6.5000,-77.171997,-19.915379
6.7500,-77.596481,-19.928877
7.0000,-78.430336,-19.957958
7.2500,-79.740967,-20.000149
7.5000,-81.664078,-20.053022
7.7500,-84.525063,-20.114212
8.0000,-89.210220,-20.181419
8.2500,-100.352722,-20.252380
8.5000,-96.604691,-20.324966
8.7500,-88.543579,-20.397112
9.0000,-84.829948,-20.466900
9.2500,-82.621849,-20.532593
9.5000,-81.255836,-20.592630
