row,col,sum_amp,sum_phase_deg,diff_amp,diff_phase_deg
0,0,0.00000000,103.789212,0.00000000,-76.210820
0,1,0.00000000,80.365508,0.00000000,-96.256575
0,2,0.00000000,-122.084395,0.00000000,70.570812
0,3,0.00000000,34.068988,0.00000000,-123.282000
0,4,0.00000000,-173.194738,0.00000000,32.043577
0,5,0.00000000,-21.818713,0.00000000,151.021934
0,6,0.00000001,129.255346,0.00000001,-69.525884
0,7,0.00000001,-76.455888,0.00000001,96.466657
0,8,0.00000001,87.681730,0.00000001,-97.635582
0,9,0.00000001,-110.123159,0.00000001,66.822930
0,10,0.00000002,42.422192,0.00000002,-113.118581
0,11,0.00000002,-162.932096,0.00000002,40.771193
0,12,0.00000002,-6.879103,0.00000003,178.511414
0,13,0.00000003,149.411644,0.00000003,-46.382280
0,14,0.00000003,-53.323307,0.00000003,97.148066
0,15,0.00000003,103.535106,0.00000003,-102.876770
0,16,0.00000003,-103.535105,0.00000003,-77.123246
0,17,0.00000003,53.323302,0.00000003,82.851895
0,18,0.00000003,-149.411643,0.00000003,-133.617791
0,19,0.00000002,6.879109,0.00000003,1.488521
0,20,0.00000002,162.932098,0.00000002,139.228900
0,21,0.00000002,-42.422202,0.00000002,-66.881369
0,22,0.00000001,110.123148,0.00000001,113.177098
0,23,0.00000001,-87.681722,0.00000001,-82.364404
0,24,0.00000001,76.455895,0.00000001,83.533350
0,25,0.00000001,-129.255352,0.00000001,-110.474135
0,26,0.00000000,21.818712,0.00000000,28.977951
0,27,0.00000000,173.194735,0.00000000,147.956382
0,28,0.00000000,-34.068992,0.00000000,-56.717999
0,29,0.00000000,122.084391,0.00000000,109.429178
0,30,0.00000000,-80.365502,0.00000000,-83.743394
0,31,0.00000000,-103.789212,0.00000000,-103.789180
1,0,0.00000000,-75.565143,0.00000000,108.756136
1,1,0.00001811,-161.040113,0.00002128,41.238984
1,2,0.00007576,1.936193,0.00008871,-160.720786
1,3,0.00018141,-174.498812,0.00021214,3.851224
1,4,0.00035425,1.560328,0.00040525,174.914148
1,5,0.00056568,172.701994,0.00068161,-15.205890
1,6,0.00076537,-25.026747,0.00104849,145.127567
1,7,0.00106126,126.665868,0.00135549,-59.865543
1,8,0.00143981,-76.822926,0.00099409,106.777920
1,9,0.00182909,74.157676,0.00095353,-134.956631
1,10,0.00223867,-125.238641,0.00112388,69.529302
1,11,0.00267153,26.529024,0.00136133,-133.180013
1,12,0.00289462,-179.634590,0.00161048,19.620427
1,13,0.00332129,-23.344224,0.00189698,156.961589
1,14,0.00349709,130.652869,0.00187761,-73.407086
1,15,0.00367949,-77.600326,0.00190995,42.550199
1,16,0.00367949,77.600319,0.00190995,137.449806
1,17,0.00349709,-130.652869,0.00187761,-106.593063
1,18,0.00332129,23.344222,0.00189698,23.038419
1,19,0.00289462,179.634585,0.00161048,160.379408
1,20,0.00267153,-26.529037,0.00136133,-46.820819
1,21,0.00223867,125.238637,0.00112388,110.470957
1,22,0.00182909,-74.157674,0.00095353,-45.043510
1,23,0.00143981,76.822927,0.00099409,73.222052
1,24,0.00106126,-126.665901,0.00135549,-120.134741
1,25,0.00076537,25.026742,0.00104849,34.872404
1,26,0.00056568,-172.701978,0.00068161,-164.794058
1,27,0.00035425,-1.560294,0.00040525,5.085887
1,28,0.00018141,174.498869,0.00021214,176.148790
1,29,0.00007576,-1.936157,0.00008871,-19.279198
1,30,0.00001811,161.040115,0.00002128,138.761035
1,31,0.00000000,75.565144,0.00000000,71.243863
2,0,0.00000000,-73.590083,0.00000000,124.492688
2,1,0.00007559,-161.070596,0.00008872,41.234408
2,2,0.00031582,1.932957,0.00036977,-160.722701
2,3,0.00075615,-174.504559,0.00088429,3.851403
2,4,0.00147205,1.528567,0.00168923,174.914002
2,5,0.00235823,172.699431,0.00284125,-15.206001
2,6,0.00319044,-25.029783,0.00437056,145.127579
2,7,0.00442383,126.660898,0.00565021,-59.883342
2,8,0.00600183,-76.816481,0.00414340,106.780570
2,9,0.00762445,74.159874,0.00397456,-134.953366
2,10,0.00933176,-125.237498,0.00468475,69.468892
2,11,0.01113624,26.529233,0.00567470,-131.739823
2,12,0.01206252,-179.633487,0.00671296,19.602031
2,13,0.01384428,-23.343837,0.00790707,156.959333
2,14,0.01457716,130.653479,0.00782654,-73.422639
2,15,0.01533749,-77.599134,0.00796137,42.550037
2,16,0.01533749,77.599123,0.00796137,137.449970
2,17,0.01457715,-130.653481,0.00782654,-106.577451
2,18,0.01384428,23.343835,0.00790706,23.040658
2,19,0.01206251,179.633480,0.00671296,160.397843
2,20,0.01113624,-26.529239,0.00567470,-48.260047
2,21,0.00933176,125.237493,0.00468474,110.531866
2,22,0.00762445,-74.159871,0.00397456,-45.046790
2,23,0.00600183,76.816478,0.00414340,73.219453
2,24,0.00442383,-126.660939,0.00565021,-120.116872
2,25,0.00319043,25.029778,0.00437056,34.872391
