theta_deg,sum_db,diff_db
-90.0000,-74.689857,-24.245386
-89.7500,-74.698273,-24.245195
-89.5000,-74.704597,-24.244511
-89.2500,-74.722519,-24.243393
-89.0000,-74.754776,-24.241856
-88.7500,-74.800995,-24.239836
-88.5000,-74.847450,-24.237392
-88.2500,-74.916801,-24.234579
-88.0000,-74.987801,-24.231289
-87.7500,-75.063774,-24.227531
-87.5000,-75.163162,-24.223387
-87.2500,-75.267059,-24.218811
-87.0000,-75.378487,-24.213818
-86.7500,-75.504623,-24.208412
-86.5000,-75.641426,-24.202692
-86.2500,-75.810867,-24.196518
-86.0000,-75.978195,-24.189953
-85.7500,-76.160019,-24.183025
-85.5000,-76.375031,-24.175766
-85.2500,-76.587662,-24.168118
-85.0000,-76.831154,-24.160210
-84.7500,-77.099701,-24.151937
-84.5000,-77.392578,-24.143360
-84.2500,-77.718758,-24.134487
-84.0000,-78.062317,-24.125347
-83.7500,-78.415993,-24.115997
-83.5000,-78.843002,-24.106373
-83.2500,-79.296577,-24.096487
-83.0000,-79.793098,-24.086454
-82.7500,-80.355003,-24.076252
-82.5000,-80.969849,-24.065891
-82.2500,-81.658508,-24.055477
-82.0000,-82.447502,-24.044876
-81.7500,-83.338150,-24.034243
-81.5000,-84.335434,-24.023567
-81.2500,-85.564651,-24.012886
-81.0000,-86.955856,-24.002224
-80.7500,-88.736832,-23.991621
-80.5000,-91.000336,-23.981115
-80.2500,-94.123955,-23.970795
-80.0000,-99.224480,-23.960571
-79.7500,-114.040062,-23.950600
-79.5000,-103.034622,-23.940878
-79.2500,-95.791740,-23.931431
-79.0000,-91.848511,-23.922287
-78.7500,-89.152000,-23.913553
-78.5000,-87.099495,-23.905296
-78.2500,-85.397079,-23.897436
-78.0000,-83.985001,-23.890137
-77.7500,-82.778717,-23.883354
-77.5000,-81.742188,-23.877249
-77.2500,-80.814140,-23.871775
-77.0000,-79.989288,-23.866966
-76.7500,-79.231575,-23.862993
-76.5000,-78.567497,-23.859789
-76.2500,-77.959808,-23.857464
-76.0000,-77.410545,-23.855989
-75.7500,-76.917030,-23.855564
-75.5000,-76.461655,-23.856066
-75.2500,-76.062164,-23.857635
-75.0000,-75.697929,-23.860323
-74.7500,-75.372787,-23.864132
-74.5000,-75.086861,-23.869083
-74.2500,-74.836746,-23.875328
-74.0000,-74.611855,-23.882807
-73.7500,-74.436447,-23.891504
-73.5000,-74.288589,-23.901573
-73.2500,-74.170891,-23.912935
-73.0000,-74.095436,-23.925722
-72.7500,-74.051834,-23.939837
-72.5000,-74.033287,-23.955324
-72.2500,-74.063080,-23.972176
-72.0000,-74.123962,-23.990479
-71.7500,-74.220566,-24.010143
-71.5000,-74.363220,-24.031178
-71.2500,-74.553162,-24.053532
-71.0000,-74.779182,-24.077196
-70.7500,-75.059387,-24.102201
-70.5000,-75.393867,-24.128361
-70.2500,-75.775650,-24.155676
-70.0000,-76.220634,-24.184141
-69.7500,-76.750786,-24.213579
-69.5000,-77.358917,-24.243935
-69.2500,-78.060768,-24.275150
-69.0000,-78.856590,-24.307106
-68.7500,-79.807304,-24.339579
-68.5000,-80.910461,-24.372549
-68.2500,-82.239365,-24.405865
-68.0000,-83.864716,-24.439243
-67.7500,-85.907890,-24.472639
-67.5000,-88.643265,-24.505905
-67.2500,-92.666885,-24.538677
-67.0000,-100.578949,-24.570911
-66.7500,-107.261169,-24.602240
-66.5000,-94.821251,-24.632549
-66.2500,-90.068703,-24.661564
-66.0000,-87.017586,-24.689049
-65.7500,-84.860214,-24.714828
-65.5000,-83.196976,-24.738556
-65.2500,-81.878860,-24.760035
-65.0000,-80.801910,-24.778900
-64.7500,-79.912674,-24.795057
-64.5000,-79.190430,-24.808159
-64.2500,-78.592194,-24.817974
-64.0000,-78.122223,-24.824247
-63.7500,-77.738525,-24.826794
-63.5000,-77.459053,-24.825386
-63.2500,-77.238914,-24.819805
-63.0000,-77.144745,-24.809910
-62.7500,-77.116539,-24.795506
-62.5000,-77.162384,-24.776440
-62.2500,-77.307762,-24.752659
-62.0000,-77.532959,-24.724024
-61.7500,-77.863419,-24.690504
-61.5000,-78.285950,-24.652079
-61.2500,-78.818443,-24.608738
-61.0000,-79.438713,-24.560413
-60.7500,-80.253632,-24.507341
-60.5000,-81.200020,-24.449524
-60.2500,-82.386230,-24.387012
-60.0000,-83.851692,-24.320114
-59.7500,-85.703217,-24.248909
-59.5000,-88.141014,-24.173618
-59.2500,-91.584785,-24.094427
-59.0000,-97.629784,-24.011692
-58.7500,-127.862732,-23.925600
-58.5000,-98.097672,-23.836477
-58.2500,-92.173950,-23.744614
-58.0000,-88.687286,-23.650360
-57.7500,-86.421394,-23.554018
-57.5000,-84.707253,-23.455954
-57.2500,-83.398476,-23.356457
-57.0000,-82.398666,-23.255875
-56.7500,-81.600052,-23.154594
-56.5000,-81.004326,-23.052980
-56.2500,-80.581665,-22.951229
-56.0000,-80.279114,-22.849812
-55.7500,-80.125114,-22.749041
-55.5000,-80.101311,-22.649178
-55.2500,-80.195953,-22.550591
-55.0000,-80.420105,-22.453564
-54.7500,-80.774582,-22.358322
-54.5000,-81.295540,-22.265160
