theta_deg,sum_db,diff_db
-90.0000,-152.700928,-23.201843
-89.7500,-143.996185,-23.201916
-89.5000,-138.660431,-23.202160
-89.2500,-167.117981,-23.202557
-89.0000,-147.673630,-23.203098
-88.7500,-137.801376,-23.203796
-88.5000,-128.389343,-23.204630
-88.2500,-135.221588,-23.205608
-88.0000,-134.251755,-23.206707
-87.7500,-130.435562,-23.207922
-87.5000,-140.017105,-23.209236
-87.2500,-136.954514,-23.210638
-87.0000,-129.667236,-23.212120
-86.7500,-130.329239,-23.213661
-86.5000,-125.128494,-23.215237
-86.2500,-126.673035,-23.216839
-86.0000,-127.714371,-23.218433
-85.7500,-125.311813,-23.220020
-85.5000,-123.851135,-23.221554
-85.2500,-123.598106,-23.223019
-85.0000,-121.776512,-23.224394
-84.7500,-122.128159,-23.225639
-84.5000,-122.222015,-23.226730
-84.2500,-119.243546,-23.227644
-84.0000,-118.030479,-23.228338
-83.7500,-118.058510,-23.228783
-83.5000,-116.827782,-23.228941
-83.2500,-117.312149,-23.228781
-83.0000,-117.022163,-23.228264
-82.7500,-115.998932,-23.227350
-82.5000,-115.157181,-23.225996
-82.2500,-115.325943,-23.224161
-82.0000,-114.803589,-23.221807
-81.7500,-113.536301,-23.218899
-81.5000,-113.407257,-23.215366
-81.2500,-113.687248,-23.211174
-81.0000,-113.098183,-23.206299
-80.7500,-112.311058,-23.200684
-80.5000,-111.952438,-23.194265
-80.2500,-112.944672,-23.186979
-80.0000,-112.997925,-23.178827
-79.7500,-111.829803,-23.169750
-79.5000,-112.974968,-23.159649
-79.2500,-111.862373,-23.148558
-79.0000,-111.432350,-23.136383
-78.7500,-112.090218,-23.123058
-78.5000,-113.467728,-23.108543
-78.2500,-112.403397,-23.092873
-78.0000,-112.652939,-23.075903
-77.7500,-113.975288,-23.057625
-77.5000,-113.693275,-23.038034
-77.2500,-114.923294,-23.017033
-77.0000,-116.173103,-22.994623
-76.7500,-115.571228,-22.970787
-76.5000,-118.054276,-22.945457
-76.2500,-118.499458,-22.918625
-76.0000,-123.131401,-22.890240
-75.7500,-121.974274,-22.860363
-75.5000,-141.123993,-22.828848
-75.2500,-131.755646,-22.795753
-75.0000,-122.878876,-22.761080
-74.7500,-119.285629,-22.724838
-74.5000,-115.531326,-22.686998
-74.2500,-114.389084,-22.647598
-74.0000,-111.769714,-22.606537
-73.7500,-110.541168,-22.563974
-73.5000,-108.790657,-22.519852
-73.2500,-107.086876,-22.474192
-73.0000,-105.945297,-22.427042
-72.7500,-104.792336,-22.378429
-72.5000,-103.798035,-22.328484
-72.2500,-103.010216,-22.277166
-72.0000,-102.363731,-22.224543
-71.7500,-101.642365,-22.170666
-71.5000,-100.723862,-22.115562
-71.2500,-100.135941,-22.059401
-71.0000,-99.483093,-22.002209
-70.7500,-99.084892,-21.944065
-70.5000,-98.653709,-21.885071
-70.2500,-98.212746,-21.825260
-70.0000,-97.771545,-21.764803
-69.7500,-97.499374,-21.703781
-69.5000,-97.136459,-21.642227
-69.2500,-96.889969,-21.580318
-69.0000,-96.760109,-21.518158
-68.7500,-96.603424,-21.455856
-68.5000,-96.589134,-21.393507
-68.2500,-96.592819,-21.331242
-68.0000,-96.587082,-21.269131
-67.7500,-96.701088,-21.207417
-67.5000,-97.019226,-21.146105
-67.2500,-97.302246,-21.085329
-67.0000,-97.695969,-21.025295
-66.7500,-98.154297,-20.965994
-66.5000,-98.817055,-20.907669
-66.2500,-99.667068,-20.850357
-66.0000,-100.690369,-20.794216
-65.7500,-101.968964,-20.739311
-65.5000,-103.743042,-20.685867
-65.2500,-106.453156,-20.633850
-65.0000,-110.645706,-20.583450
-64.7500,-117.037018,-20.534773
-64.5000,-122.832603,-20.487892
-64.2500,-111.166542,-20.442820
-64.0000,-106.416321,-20.399792
-63.7500,-103.098457,-20.358812
-63.5000,-100.633484,-20.319916
-63.2500,-98.818123,-20.283224
-63.0000,-97.298264,-20.248747
-62.7500,-95.941910,-20.216581
-62.5000,-94.838959,-20.186766
-62.2500,-93.900833,-20.159336
-62.0000,-93.080673,-20.134325
-61.7500,-92.487534,-20.111683
-61.5000,-91.881981,-20.091459
-61.2500,-91.417679,-20.073683
-61.0000,-91.028748,-20.058243
-60.7500,-90.794968,-20.045202
-60.5000,-90.532219,-20.034534
-60.2500,-90.517151,-20.026123
-60.0000,-90.459610,-20.019966
-59.7500,-90.644112,-20.015957
-59.5000,-90.862389,-20.014061
-59.2500,-91.250183,-20.014080
-59.0000,-91.798180,-20.016050
-58.7500,-92.427048,-20.019760
-58.5000,-93.377319,-20.025122
-58.2500,-94.555748,-20.032013
-58.0000,-96.223145,-20.040285
-57.7500,-98.303452,-20.049793
-57.5000,-101.791473,-20.060345
-57.2500,-107.603195,-20.071791
-57.0000,-140.511642,-20.084019
-56.7500,-106.964462,-20.096786
-56.5000,-100.795250,-20.109936
-56.2500,-97.293365,-20.123268
-56.0000,-94.684860,-20.136606
-55.7500,-92.732224,-20.149853
-55.5000,-91.286095,-20.162733
-55.2500,-90.049423,-20.175152
-55.0000,-89.011391,-20.186911
-54.7500,-88.239288,-20.197857
-54.5000,-87.591003,-20.207870
-54.2500,-87.065536,-20.216816
-54.0000,-86.740524,-20.224586
-53.7500,-86.506805,-20.231030
-53.5000,-86.437904,-20.236158
-53.2500,-86.532471,-20.239851
-53.0000,-86.722115,-20.242044
-52.7500,-87.119263,-20.242756
-52.5000,-87.715546,-20.241947
