theta_deg,sum_db,diff_db
-90.0000,-44.307114,-19.059902
-89.7500,-44.281342,-19.051859
-89.5000,-44.204460,-19.027868
-89.2500,-44.077736,-18.987961
-89.0000,-43.902187,-18.932306
-88.7500,-43.680759,-18.861162
-88.5000,-43.416420,-18.774851
-88.2500,-43.111176,-18.673710
-88.0000,-42.769493,-18.558174
-87.7500,-42.393845,-18.428610
-87.5000,-41.988220,-18.285706
-87.2500,-41.555904,-18.129837
-87.0000,-41.099899,-17.961575
-86.7500,-40.624008,-17.781607
-86.5000,-40.129974,-17.590487
-86.2500,-39.620930,-17.388786
-86.0000,-39.099609,-17.177216
-85.7500,-38.567528,-16.956306
-85.5000,-38.026844,-16.726711
-85.2500,-37.479397,-16.489161
-85.0000,-36.926437,-16.244116
-84.7500,-36.369232,-15.992173
-84.5000,-35.809105,-15.733965
-84.2500,-35.246941,-15.470074
-84.0000,-34.683434,-15.201001
-83.7500,-34.119606,-14.927286
-83.5000,-33.555874,-14.649422
-83.2500,-32.992748,-14.367872
-83.0000,-32.430855,-14.083152
-82.7500,-31.870432,-13.795623
-82.5000,-31.311838,-13.505801
-82.2500,-30.755527,-13.214049
-82.0000,-30.201628,-12.920692
-81.7500,-29.650337,-12.626201
-81.5000,-29.101812,-12.330865
-81.2500,-28.556231,-12.034965
-81.0000,-28.013842,-11.738939
-80.7500,-27.474546,-11.442975
-80.5000,-26.938629,-11.147449
-80.2500,-26.406042,-10.852551
-80.0000,-25.876978,-10.558585
-79.7500,-25.351427,-10.265819
-79.5000,-24.829576,-9.974498
-79.2500,-24.311314,-9.684805
-79.0000,-23.796791,-9.397013
-78.7500,-23.286034,-9.111309
-78.5000,-22.779121,-8.827909
-78.2500,-22.276037,-8.547023
-78.0000,-21.776943,-8.268879
-77.7500,-21.281721,-7.993602
-77.5000,-20.790522,-7.721442
-77.2500,-20.303366,-7.452551
-77.0000,-19.820303,-7.187133
-76.7500,-19.341356,-6.925352
-76.5000,-18.866566,-6.667399
-76.2500,-18.396023,-6.413453
-76.0000,-17.929726,-6.163687
-75.7500,-17.467739,-5.918265
