theta0_deg,elements,scan_limit_deg,sum_guard_used_deg,diff_guard_used_deg,sum_peak_theta_deg,sum_pointing_error_deg,sum_target_gain_db,sum_sll_db,diff_null_at_target_db,diff_sll_db,null_1_theta_deg,null_1_depth_db,null_2_theta_deg,null_2_depth_db,null_3_theta_deg,null_3_depth_db,null_4_theta_deg,null_4_depth_db,loss_sum_point,loss_sum_sll,loss_null,loss_diff_null,loss_diff_lobes,loss_diff_sll,train_seconds,fault_rate
-60.0,1024,60.0,23.999999999999996,35.99999999999999,-59.25,0.75,-0.04686591774225235,-35.24694061279297,-32.038665771484375,-19.059837341308594,-30.0,-47.51124572753906,-15.0,-40.668861389160156,15.0,-59.54570388793945,30.0,-45.78343963623047,0.002119479700922966,2.5307417672593147e-07,0.0,0.0,23.374248504638672,0.29978147149086,10.364244600001257,0.0
-30.0,1024,60.0,13.856406460551018,20.784609690826525,-30.0,0.0,0.0,-58.13372802734375,-37.27272415161133,-19.91537857055664,-15.0,-60.390403747558594,-45.0,-67.33849334716797,-60.0,-65.52316284179688,15.0,-87.3770980834961,0.0,0.0,0.0,0.0,0.3319094777107239,0.0,9.978026899974793,0.0
0.0,1024,60.0,12.0,18.0,0.0,0.0,0.0,-58.13505554199219,-38.24943923950195,-19.99833869934082,-15.0,-86.72370147705078,15.0,-86.72370147705078,-30.0,-74.68880462646484,30.0,-74.68880462646484,0.0,0.0,0.0,0.0,0.07067783176898956,0.0,10.245356800034642,0.0
30.0,1024,60.0,13.856406460551018,20.784609690826525,30.0,0.0,0.0,-58.13372802734375,-36.79615783691406,-21.104318618774414,15.0,-60.390403747558594,45.0,-67.33849334716797,60.0,-65.52316284179688,-15.0,-87.3770980834961,0.0,0.0,0.0,0.0,0.5901391506195068,0.0,9.955996300035622,0.0
60.0,1024,60.0,23.999999999999996,35.99999999999999,59.25,0.75,-0.04551943391561508,-35.293121337890625,-41.81056213378906,-18.495532989501953,30.0,-47.65449523925781,15.0,-41.53084182739258,-15.0,-59.73024368286133,-30.0,-44.47700119018555,0.00222578551620245,0.0,0.0,8.474161148071289,21.60714340209961,0.049113381654024124,10.033151499985252,0.0
